Time,Learning rate,Train loss,Validation loss,MAE_energy,MAE_energy_grad
10.331170082092285,0.001,0.27042658166850314,0.17471198737621307,0.545929491519928,0.21412559447249746
20.109475135803223,0.001,0.16328658908605576,0.16082794964313507,0.535902202129364,0.20488540525358867
30.00770592689514,0.001,0.13533373461926684,0.1465073674917221,0.5186695456504822,0.19560674651851498
39.967509508132935,0.001,0.12133969432290863,0.14256033301353455,0.500834047794342,0.1934278162514291
49.94699192047119,0.001,0.11256930889452205,0.1388283371925354,0.4824070930480957,0.19139044536807673
60.07941508293152,0.001,0.10572668230708908,0.13810305297374725,0.4716113209724426,0.1912656334357533
70.3394181728363,0.001,0.10021708204465754,0.13618479669094086,0.4660453200340271,0.19008070782917302
80.51328229904175,0.001,0.09495613088502604,0.1359739750623703,0.46452003717422485,0.19001311015307418
91.0536458492279,0.001,0.09067541733384132,0.13477255403995514,0.4651002287864685,0.18910869815485265
101.67753672599792,0.001,0.08662157724885379,0.13503427803516388,0.4681939482688904,0.189224143919906
112.4326159954071,0.001,0.08319494347361957,0.13456977903842926,0.47113603353500366,0.18886294481230945
123.23413968086243,0.001,0.07991773394100807,0.13498607277870178,0.4747435450553894,0.18914839581745427
133.87165641784668,0.001,0.07708105006638695,0.13478508591651917,0.4770820140838623,0.18911331300813009
144.8405704498291,0.001,0.07442583757288315,0.13497787714004517,0.4806501865386963,0.18932254450107977
155.65233302116394,0.001,0.07205722031786162,0.1347532719373703,0.4843917489051819,0.18936624914650024
166.85171675682068,0.001,0.06980825927765931,0.13516202569007874,0.488827645778656,0.18983980504477896
177.79945826530457,0.001,0.0678321698351818,0.1350184679031372,0.4922933578491211,0.19006960488916413
188.86015844345093,0.001,0.06579358908621703,0.13533787429332733,0.4963696002960205,0.1905401214351499
200.0307502746582,0.001,0.06408385581829969,0.1347925066947937,0.5000250935554504,0.1905044679719258
211.33921694755554,0.001,0.06233042752479806,0.13569797575473785,0.5053720474243164,0.19133313186769563
